,Name,lat,lng
0,OUG PARKLANE,3.0698205,101.6565317
1,THE SCOTT GARDEN,3.095009,101.6746841
2,SRI PENARA,3.0970157,101.7099875
3,REGALIA SERVICE APARTMENT,3.1641463,101.6925738
4,VERVE SUITES,3.1676979,101.6460159
5,THE Z RESIDENCE,3.0644917,101.6658557
6,SOLARIS DUTAMAS,3.170903,101.6660549
7,TAMAN MELATI,3.221806,101.725659
8,WANGSA MAJU SEKSYEN 2,3.2082438,101.7360115
9,SENI MONT KIARA,3.170816,101.6594856
10,BANDAR TASIK SELATAN FLAT,3.0740418,101.71835
11,VILLA WANGSAMAS CONDO,3.1940074,101.7365225
12,ROYAL DOMAIN SRI PUTRAMAS 2,3.1806005,101.673876
13,SERINGIN RESIDENCES,3.0765639,101.6865962
14,MIDFIELDS,3.0967966,101.7013263
15,TAMAN SRI MURNI APARTMENT,3.2358236,101.6620936
16,BUKIT OUG,3.062209,101.6690069
17,GEMBIRA RESIDEN,3.0820161,101.686575
18,WANGSA MAJU SEKSYEN 1,3.2046482,101.7274695
19,THE LEAFZ @ DEDAUN SUNGAI BESI,3.0850982,101.6953156
20,MUTIARA MAGNA,3.2113245,101.6393774
21,LE YUAN RESIDENCE,3.0787854,101.689002
22,VILLA ORKID,3.14395,101.68772
23,SRI PUTRAMAS,3.1791394,101.6746691
24,TIFFANI KIARA,3.1732394,101.6587269
25,PLATINUM LAKE PV13,3.2010321,101.7155895
26,GREENVIEW APARTMENT,3.1525238,101.7110995
27,ARENA GREEN,3.0529142,101.6875816
28,KETUMBAR HEIGHTS,3.1021508,101.7516603
29,SRI RAKYAT,3.0548999,101.6690295
30,DANAU KOTA FLAT,3.1992105,101.7130556
31,LAMAN DAMAI (LI GARDEN),3.2103617,101.6376442
32,TAMAN PUSAT KEPONG,3.200689,101.655446
33,ABADI INDAH APARTMENT,3.0956728,101.6839211
34,KIARA RESIDENCE,3.1592514,101.7049512
35,AMADESA,3.0845323,101.702258
36,DESA GREEN,3.1057055,101.6947332
37,TAMAN BUKIT ANGKASA,3.108318,101.6697211
38,VIPOD SUITES,3.1521721,101.7126854
39,TASIK HEIGHTS,3.075692,101.7190894
40,ST.MARY RESIDENSI,3.1521315,101.7082317
41,GENTING COURT,3.1967748,101.710477
42,MARC SERVICE RESIDENCE,3.1553174,101.7099699
43,MENARA SOHO,3.1531064,101.7103396
44,PLATINUM HILL PV2,3.2241379,101.7290781
