,Block,Complete,Developer,Maintenance,Name,TotalStoreys,TotalUnit,
0,11,2015,Akisama Group,0.18,OUG PARKLANE,33,4429,1
1,3,2011,Aston Villa,0.15,THE SCOTT GARDEN,3,1080,
2,4,2000,PPC Glomac Sdn. Bhd.,RM50/Month,SRI PENARA,17,2040,
3,3,2012,PPC Glomac Sdn. Bhd.,0.33,REGALIA SERVICE APARTMENT,17,1033,
4,4,2013,Bukit Kiara Properties,RM0.33psf,VERVE SUITES,37,933,
5,4,2014,Trinity Group Sdn Bhd,RM0.20psf,THE Z RESIDENCE,27,1136,
6,26,2009,Sunrise,RM0.35psf,SOLARIS DUTAMAS,21,2200,
7,NIL,1989,NA,30/month,TAMAN MELATI,NIL,NIL,
8,NA,1985,NA,30/month,WANGSA MAJU SEKSYEN 2,NIL,NA,
9,4,2010,Amatir Resources,RM0.25psf,SENI MONT KIARA,40,605,
10,NA,2001,NA,RM50/month,BANDAR TASIK SELATAN FLAT,NA,NA,
11,9,2004,Setapak Heights Development,RM0.16psf,VILLA WANGSAMAS CONDO,20,1317,
12,4,2007,ROYAL DOMAIN SRI PUTRAMAS 2,RM0.20psf,ROYAL DOMAIN SRI PUTRAMAS 2,36,1022,
13,2,2015,See Hoy Chan Sdn Bhd Group,RM0.26psf,SERINGIN RESIDENCES,24,542,
14,3,2013,YTL Land & Development,RM0.30psf,MIDFIELDS,13,1058,
15,5,1996,Zaeweah Sdn Bhd,0.09,TAMAN SRI MURNI APARTMENT,17,612,
16,14,2010,YTL Land & Development,180/month,BUKIT OUG,13,1700,
17,3,2013,Kelang Lama Sdn Bhd (a subsidiary of Chin Hin Group),RM0.18psf,GEMBIRA RESIDEN,24,467,
18,NA,NA,NA,RM0.18psf,WANGSA MAJU SEKSYEN 1,24,NA,
19,3,2015,Exsim Development,RM0.25psf,THE LEAFZ @ DEDAUN SUNGAI BESI,24,643,
20,4,NA,Magna Prima Sdn Bhd,RM60/month,MUTIARA MAGNA,15,NIL,
21,2,2014,UOA Development Bhd. ,RM0.22psf,LE YUAN RESIDENCE,NIL,670,
22,3,2013,Brem Holding Berhad,RM0.16psf,VILLA ORKID,18,412,
23,5,2004,Mayland,RM0.20psf,SRI PUTRAMAS,18,654,
24,2,2009,Ireka Development Management (Ireka Corp),RM0.30psf,TIFFANI KIARA,NIL,399,
25,2,2008,Platinum Victory Group Sdn. Bhd.,230/month,PLATINUM LAKE PV13,24,NIL,
26,2,2005,Chong Lian Enterprise Sdn Bhd,0.06,GREENVIEW APARTMENT,6,1134,
27,6,2001,Berjaya Land (a subsidiary of Berjaya Group),RM0.11psf,ARENA GREEN,11,1240,
28,4,2010,Mahajaya Berhad,RM0.13psf,KETUMBAR HEIGHTS,14,838,
29,3,2003,Ho Hup Group,39/month,SRI RAKYAT,14,1098,
30,NA,NA,NA,RM0.13psf,DANAU KOTA FLAT,14,NA,
31,3,2012,Kepong Development,0.06,LAMAN DAMAI (LI GARDEN),14,NA,
32,NIL,NA,NA,NIL,TAMAN PUSAT KEPONG,NIL,NIL,
33,5,1994,Abadi Man Nien Sdn Bhd,178/month,ABADI INDAH APARTMENT,12,754,
34,3,2014,Kiara Resources Properties (a JV between Aston Villa & YAKIN),0.25,KIARA RESIDENCE,13,720,
35,3,2005,Salak Park Development (Mahajaya),RM0.15psf,AMADESA,18,715,
36,3,2016, UOA Group,0.22,DESA GREEN,18,1388,
37,NA,1988,NA,RM0.15psf,TAMAN BUKIT ANGKASA,18,NA,
38,3,2013,Monoland,RM0.35psf,VIPOD SUITES,39,418,
39,,2000,ASM Development Sdn Bhd (Maju Holding),111/month,TASIK HEIGHTS,9,1053,
40,3,2012,E&O Property Development,0.55,ST.MARY RESIDENSI,28,657,
41,6,1995,Immetec Sdn Bhd,90/monyh,GENTING COURT,15,972,
42,2,2007,Beverly Tower Development,RM0.35psf,MARC SERVICE RESIDENCE,35,637,
43,1,2013,Monoland,RM0.30psf,MENARA SOHO,35,45,
44,NIL,2013,Platinum Victory Group Sdn. Bhd.,0.15,PLATINUM HILL PV2,NIL,700,
