,Median Price Psf,Name,No of Transactions,Street,Tenure,Type
0,442,OUG PARKLANE,435 Transactions,OLD KLANG ROAD,FREEHOLD,SERVICE RESIDENCE
1,604,THE SCOTT GARDEN,329 Transactions,OLD KLANG ROAD,FREEHOLD,SERVICE RESIDENCE
2,"1,060",VERVE SUITES,287 Transactions,MONT KIARA,FREEHOLD,SERVICE RESIDENCE
3,232,SRI PENARA,279 Transactions,CHERAS,LEASEHOLD,FLAT
4,846,REGALIA SERVICE APARTMENT,238 Transactions,KL CITY CENTRE,FREEHOLD,SERVICE RESIDENCE
5,394,VILLA WANGSAMAS CONDO,237 Transactions,WANGSA MAJU,FREEHOLD,CONDOMINIUM
6,868,SOLARIS DUTAMAS,227 Transactions,DUTAMAS,FREEHOLD,SERVICE RESIDENCE
7,527,THE Z RESIDENCE,214 Transactions,BUKIT JALIL,FREEHOLD,CONDOMINIUM
8,237,TAMAN MELATI,208 Transactions,SETAPAK,FREEHOLD,FLAT
9,323,WANGSA MAJU SEKSYEN 2,203 Transactions,WANGSA MAJU,LEASEHOLD,FLAT
10,198,BANDAR TASIK SELATAN FLAT,197 Transactions,BANDAR TASIK SELATAN,LEASEHOLD,FLAT
11,769,SENI MONT KIARA,191 Transactions,MONT KIARA,FREEHOLD,CONDOMINIUM
12,556,SERINGIN RESIDENCES,191 Transactions,OLD KLANG ROAD,FREEHOLD,CONDOMINIUM
13,464,ROYAL DOMAIN SRI PUTRAMAS 2,189 Transactions,JALAN KUCHING,FREEHOLD,CONDOMINIUM
14,"1,387",INVITO (ONE @ BUKIT CEYLON),180 Transactions,KL CITY CENTRE,FREEHOLD,SERVICE RESIDENCE
15,434,D' ALAMANDA,167 Transactions,CHERAS,LEASEHOLD,SERVICE RESIDENCE
16,445,SRI PUTRAMAS,165 Transactions,JALAN KUCHING,FREEHOLD,CONDOMINIUM
17,367,PLATINUM LAKE PV13,165 Transactions,SETAPAK,LEASEHOLD,CONDOMINIUM
18,183,MUTIARA MAGNA,163 Transactions,KEPONG,LEASEHOLD,FLAT
